position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Centre-Forward,24,0.9,Belgium,Jupiler Pro League,KV Oostende,Belgium,Challenger Pro League,RWD Molenbeek,2
Defensive Midfield,22,2,Chile,Primera División,Unión Española,Russia,Premier Liga,CSKA Moscow,2
Central Midfield,27,2,Bulgaria,efbet Liga,Ludogorets Razgrad,Brazil,Série A,Club Athletico Paranaense,2
Centre-Forward,27,2,Germany,Bundesliga,Bayer 04 Leverkusen,Italy,Serie B,Venezia FC,2
Left-Back,26,2,England,Championship,Huddersfield Town,England,Premier League,Nottingham Forest,2
Left Winger,26,2,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,FC Juárez,2
Centre-Forward,26,2,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,1.FSV Mainz 05,2
Left Winger,19,2,Denmark,Superligaen,FC Copenhagen,Austria,Bundesliga,SK Sturm Graz,2
Left-Back,25,2,Netherlands,Eredivisie,AZ Alkmaar,Germany,Bundesliga,FC Schalke 04,2
Centre-Forward,32,2,Italy,Serie B,Benevento Calcio,Italy,Serie B,Cagliari Calcio,2
Left Winger,26,2,France,Ligue 2,Nîmes Olympique,Greece,Super League 1,AEK Athens,2
Centre-Forward,24,2,Denmark,1.Division,SönderjyskE,Turkey,Süper Lig,Antalyaspor,1
Central Midfield,25,2,Italy,Serie B,Ascoli Calcio,Italy,Serie B,Palermo FC,1
Left Winger,30,2,Germany,Bundesliga,Eintracht Frankfurt,Greece,Super League 1,AEK Athens,1
Defensive Midfield,22,2,Croatia,SuperSport HNL,HNK Gorica,Latvia,Virsliga,Riga FC,1
Right-Back,22,2,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,AC Monza,1
Left Winger,23,2,France,Ligue 2,Dijon FCO,Turkey,Süper Lig,Istanbul Basaksehir FK,1
Centre-Forward,23,2,Belarus,Vysheyshaya Liga,Shakhter Soligorsk,United Arab Emirates,UAE Pro League,Al-Nasr SC (UAE),1
Left Winger,30,2,Spain,LaLiga,RCD Espanyol Barcelona,China,Super League,Shanghai Port,1
Centre-Forward,26,2,Argentina,Liga Profesional,Defensa y Justicia,Brazil,Série A,Sociedade Esportiva Palmeiras,1
Attacking Midfield,22,2,Portugal,Liga Sabseg,B SAD,Poland,Ekstraklasa,Lech Poznan,1
Central Midfield,31,2,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Cádiz CF,1
Attacking Midfield,27,2,Germany,Bundesliga,TSG 1899 Hoffenheim,Greece,Super League 1,AEK Athens,1
Centre-Back,22,2,Spain,LaLiga,Real Madrid,Spain,LaLiga,Cádiz CF,1
Attacking Midfield,23,2,Portugal,Liga Portugal,SL Benfica,United States,MLS,Charlotte FC,1
Right-Back,31,2,England,Championship,Watford FC,Spain,LaLiga,Villarreal CF,0.98
Central Midfield,29,2,United States,MLS,New England Revolution,United States,MLS,FC Dallas,0.546
Attacking Midfield,24,2,England,Championship,Birmingham City,Spain,LaLiga2,Sporting Gijón,0.5
Attacking Midfield,27,2,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,VfL Bochum,0.5
Left-Back,24,2,Spain,LaLiga2,CD Leganés,Spain,LaLiga,Girona FC,0.5
Central Midfield,21,2,Turkey,Süper Lig,Fenerbahce SK,Belgium,Jupiler Pro League,KVC Westerlo,0.5
Centre-Forward,24,2,Belgium,Jupiler Pro League,KV Oostende,Spain,LaLiga2,Real Zaragoza,0.3
Attacking Midfield,24,2,Spain,LaLiga2,Sporting Gijón,Spain,LaLiga2,Málaga CF,0.15
Central Midfield,23,2,Italy,Serie A,US Salernitana 1919,Italy,Serie B,Ternana Calcio,0.1
Central Midfield,22,2,Germany,2. Bundesliga,FC St. Pauli,Germany,Bundesliga,TSG 1899 Hoffenheim,free transfer
Defensive Midfield,32,2,France,Ligue 1,Stade Rennais FC,France,Ligue 1,LOSC Lille,free transfer
Central Midfield,24,2,Switzerland,Super League,FC Lugano,Italy,Serie A,Udinese Calcio,free transfer
Centre-Back,20,2,Austria,Bundesliga,Rapid Vienna,Germany,Bundesliga,FC Schalke 04,free transfer
Central Midfield,28,2,Germany,2. Bundesliga,Arminia Bielefeld,Canada,MLS,Vancouver Whitecaps FC,free transfer
Left Winger,31,2,Spain,LaLiga,Valencia CF,Italy,Serie B,Venezia FC,free transfer
Centre-Back,29,2,Russia,Premier Liga,CSKA Moscow,Greece,Super League 1,Panathinaikos Athens,free transfer
Right Winger,32,2,England,Premier League,West Ham United,United Arab Emirates,UAE Pro League,Al-Ain FC,free transfer
Centre-Back,28,2,England,Premier League,Fulham FC,England,League One,Wycombe Wanderers,free transfer
Central Midfield,29,2,Russia,Premier Liga,Zenit St. Petersburg,Turkey,Süper Lig,Fatih Karagümrük,free transfer
Left-Back,28,2,Spain,LaLiga,RCD Mallorca,Spain,LaLiga,RCD Espanyol Barcelona,free transfer
Right Midfield,25,2,France,Ligue 1,Angers SCO,France,Ligue 1,Stade Brestois 29,free transfer
Right-Back,24,2,France,Ligue 1,AC Ajaccio,France,Ligue 1,FC Lorient,free transfer
Defensive Midfield,24,2,Mexico,Liga MX Apertura,FC Juárez,Mexico,Liga MX Apertura,Club Necaxa,free transfer
Central Midfield,29,2,Italy,Serie A,Hellas Verona,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,free transfer
Right-Back,30,2,Spain,LaLiga,Villarreal CF,Spain,LaLiga,CA Osasuna,free transfer
Right-Back,22,2,Mexico,Liga MX Apertura,Club Necaxa,Mexico,Liga MX Apertura,Atlas Guadalajara,?
Left-Back,29,2,France,Ligue 1,Clermont Foot 63,France,Ligue 2,FC Girondins Bordeaux,free transfer
Central Midfield,21,2,Portugal,Liga Portugal,SL Benfica,Greece,Super League 1,PAOK Thessaloniki,loan transfer
Left Winger,28,2,United States,MLS,D.C. United,Mexico,Liga MX Apertura,Atlas Guadalajara,?
Central Midfield,25,2,England,Championship,Reading FC,Wales,Championship,Cardiff City,free transfer
Left Winger,26,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,São Paulo Futebol Clube,free transfer
Right-Back,22,2,Spain,LaLiga,RCD Espanyol Barcelona,Portugal,Liga Portugal,SC Braga,loan transfer
Centre-Forward,33,2,Belgium,Jupiler Pro League,Club Brugge KV,Netherlands,Eredivisie,FC Utrecht,free transfer
Goalkeeper,31,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,CA Osasuna,free transfer
Right-Back,24,2,England,Championship,Blackburn Rovers,England,Championship,Wigan Athletic,free transfer
Central Midfield,20,2,England,Premier League 2,Manchester City U21,England,Championship,Sheffield United,loan transfer
Centre-Forward,26,2,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Atlas Guadalajara,?
Centre-Back,25,2,France,Ligue 1,Stade Rennais FC,France,Ligue 2,Amiens SC,free transfer
Left Winger,25,2,Spain,LaLiga,Athletic Bilbao,Netherlands,Eredivisie,Fortuna Sittard,free transfer
Right-Back,23,2,Mexico,Liga MX Apertura,Club Tijuana,Mexico,Liga MX Apertura,Tigres UANL,?
Centre-Back,21,2,England,Premier League,Nottingham Forest,England,Championship,Coventry City,loan transfer
Central Midfield,23,2,United States,MLS,Los Angeles FC,Uruguay,Primera División,Club Nacional,loan transfer
Right-Back,26,2,Spain,LaLiga2,Deportivo Alavés,Portugal,Liga Portugal,FC Famalicão,free transfer
Attacking Midfield,27,2,Mexico,Liga MX Apertura,Deportivo Guadalajara,Mexico,Liga MX Apertura,CF Pachuca,?
Centre-Back,23,2,France,Ligue 1,FC Lorient,Scotland,Premiership,Celtic FC,loan transfer
Central Midfield,22,2,England,Premier League,Leeds United,England,Championship,Millwall FC,loan transfer
Centre-Back,32,2,England,Championship,Burnley FC,England,Premier League,Brentford FC,free transfer
Left Winger,27,2,Egypt,Premier League,Zamalek SC,United Arab Emirates,UAE Pro League,Al-Jazira (Abu Dhabi),free transfer
Defensive Midfield,21,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Coritiba Foot Ball Club,loan transfer
Centre-Back,29,2,Belgium,Jupiler Pro League,Royal Antwerp FC,Belgium,Jupiler Pro League,KV Kortrijk,loan transfer
Right Winger,22,2,Spain,LaLiga,Real Betis Balompié,Portugal,Liga Portugal,SC Braga,loan transfer
Central Midfield,35,2,Monaco,Ligue 1,AS Monaco,Italy,Serie B,Como 1907,free transfer
Centre-Back,32,2,France,Ligue 1,Olympique Marseille,Saudi Arabia,Professional League,Al-Nassr Riad,free transfer
Centre-Forward,20,2,Brazil,Série A,Sociedade Esportiva Palmeiras,Portugal,Liga Portugal,CD Santa Clara,loan transfer
Defensive Midfield,25,2,Mexico,Liga MX Apertura,Club León FC,Portugal,Liga Portugal,FC Famalicão,loan transfer
Right-Back,21,2,England,Premier League,Brighton & Hove Albion,Germany,2. Bundesliga,Fortuna Düsseldorf,loan transfer
Centre-Forward,31,2,Brazil,Série A,Sociedade Esportiva Palmeiras,Brazil,Série A,Cuiabá Esporte Clube (MT),free transfer
Centre-Back,25,2,Mexico,Liga MX Apertura,CF América,Mexico,Liga MX Apertura,Mazatlán FC,loan transfer
Left-Back,29,2,Ukraine,Premier Liga,Dynamo Kyiv,Brazil,Série A,Cuiabá Esporte Clube (MT),free transfer
Right-Back,27,2,England,Premier League,Nottingham Forest,Canada,MLS,Toronto FC,loan transfer
Right Winger,22,2,United States,MLS,FC Cincinnati,Turkey,1.Lig,Göztepe,loan transfer
Right Winger,29,2,Saudi Arabia,Without League,Al-Faisaly FC,Scotland,Premiership,Hibernian FC,?
Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,US Cremonese,loan transfer
Defensive Midfield,24,2,Brazil,Série B,Grêmio Foot-Ball Porto Alegrense,Brazil,Série B,Associação Chapecoense de Futebol,loan transfer
Centre-Back,28,2,Germany,Bundesliga,1.FC Union Berlin,Germany,Bundesliga,VfL Bochum,loan transfer
Left Winger,19,2,Spain,LaLiga,Athletic Bilbao,Spain,LaLiga2,CD Mirandés,loan transfer
Right Midfield,35,2,Italy,Serie A,UC Sampdoria,Italy,Serie A,US Salernitana 1919,loan transfer
Centre-Forward,24,2,England,Premier League,Aston Villa,England,Championship,Watford FC,loan transfer
Left-Back,24,2,Austria,Bundesliga,Red Bull Salzburg,France,Ligue 1,AJ Auxerre,?
Right Winger,29,2,England,Premier League,Nottingham Forest,Australia,A-League Men,Sydney FC,?
Central Midfield,27,2,Italy,Serie B,Parma Calcio 1913,Italy,Serie A,FC Empoli,loan transfer
Defensive Midfield,28,2,England,Championship,Birmingham City,England,Championship,Hull City,?
Attacking Midfield,21,2,France,Ligue 1,Stade Rennais FC,Belgium,Jupiler Pro League,Cercle Brugge ,free transfer
Centre-Forward,24,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Attacking Midfield,25,2,Greece,Super League 1,Olympiacos Piraeus,Portugal,Liga Portugal,GD Estoril Praia,loan transfer
Centre-Forward,25,2,Brazil,Série A,Club Athletico Paranaense,Portugal,Liga Portugal,CD Santa Clara,loan transfer
Centre-Back,32,2,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,free transfer
Centre-Back,32,2,Portugal,Liga Portugal,Sporting CP,Spain,LaLiga,Real Valladolid CF,free transfer
Left Winger,26,2,Spain,LaLiga,UD Almería,Spain,LaLiga,RCD Espanyol Barcelona,?
Centre-Back,19,2,United States,MLS,Los Angeles FC,Spain,LaLiga2,Villarreal CF B,loan transfer
Left-Back,20,2,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,2. Bundesliga,SpVgg Greuther Fürth,loan transfer
Left-Back,24,2,Germany,Bundesliga,Hertha BSC,Netherlands,Eredivisie,Feyenoord Rotterdam,loan transfer
Defensive Midfield,29,2,Spain,LaLiga2,Deportivo Alavés,Cyprus,Protathlima Cyta,AEK Larnaca,free transfer
Centre-Forward,27,2,Italy,Serie A,Hellas Verona,Cyprus,Protathlima Cyta,Aris Limassol,loan transfer
Centre-Forward,25,2,Scotland,Premiership,Celtic FC,Austria,Bundesliga,SK Sturm Graz,loan transfer
Defensive Midfield,23,2,Brazil,Série A,Red Bull Bragantino,Denmark,Superligaen,FC Midtjylland,loan transfer
Right-Back,23,2,England,Premier League,Southampton FC,France,Ligue 1,Angers SCO,?
Left Winger,27,2,Spain,LaLiga,Real Valladolid CF,Spain,LaLiga,Girona FC,free transfer
Centre-Forward,22,1,Greece,Super League 1,PAS Giannina,Germany,Bundesliga,VfB Stuttgart,2
Centre-Back,21,0.05,Brazil,Série A,Avaí Futebol Clube (SC),Portugal,Liga Sabseg,Académico Viseu FC,2
Centre-Forward,24,2,Uruguay,Primera División,Montevideo City Torque,Argentina,Liga Profesional,CA Huracán,0.465
Central Midfield,23,2,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,?
Centre-Forward,26,2,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,loan transfer
Central Midfield,26,2,Italy,Serie A,AC Monza,Italy,Serie B,Frosinone Calcio,loan transfer
Left-Back,24,1,Netherlands,Keuken Kampioen Divisie,PEC Zwolle,Netherlands,Eredivisie,AZ Alkmaar,2
Centre-Back,22,2,England,Premier League 2,Arsenal FC U21,England,Championship,Sunderland AFC,2
Right Winger,23,2,England,Championship,Blackpool FC,England,Premier League,Nottingham Forest,2
Centre-Back,21,2,Germany,Bundesliga,1.FSV Mainz 05,Germany,2. Bundesliga,FC St. Pauli,1
Right-Back,28,2,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,1.FSV Mainz 05,free transfer
Left-Back,27,2,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Alanyaspor,free transfer
Defensive Midfield,28,2,Mexico,Liga MX Apertura,Puebla FC,Mexico,Liga MX Apertura,FC Juárez,?
Right Winger,28,2,Argentina,Liga Profesional,Club Estudiantes de La Plata,Ecuador,Serie A Segunda Etapa,LDU Quito,?
Centre-Forward,25,2,Turkey,1.Lig,Yeni Malatyaspor,England,Championship,Hull City,free transfer
Centre-Forward,23,2,England,Premier League,Brighton & Hove Albion,Switzerland,Super League,FC Basel 1893,loan transfer
Right-Back,24,2,Italy,Serie A,AC Monza,Turkey,Süper Lig,Alanyaspor,loan transfer
Centre-Forward,24,2,Switzerland,Super League,BSC Young Boys,Germany,Bundesliga,Hertha BSC,4
Defensive Midfield,29,2,Italy,Serie B,Parma Calcio 1913,United States,MLS,Los Angeles Galaxy,2
Centre-Back,25,2,Italy,Serie A,AC Milan,Turkey,Süper Lig,Istanbul Basaksehir FK,2
Centre-Forward,29,2,Bulgaria,efbet Liga,Ludogorets Razgrad,Japan,J1 League,Sanfrecce Hiroshima,2
Centre-Forward,31,2,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,FC Schalke 04,1
Centre-Forward,31,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Japan,J1 League,Urawa Red Diamonds,1
Left Winger,27,2,Belgium,Jupiler Pro League,SV Zulte Waregem,Germany,2. Bundesliga,Hamburger SV,1
Centre-Back,20,2,Italy,Serie A,Inter Milan,Italy,Serie A,US Salernitana 1919,0.9
Central Midfield,25,2,Belgium,Jupiler Pro League,Standard Liège,England,Championship,Burnley FC,0.8
Central Midfield,24,2,Russia,Premier Liga,CSKA Moscow,Italy,Serie A,US Lecce,0.3
Central Midfield,27,2,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,1.FC Union Berlin,free transfer
Attacking Midfield,25,2,Germany,Bundesliga,VfL Bochum,Germany,Bundesliga,1.FC Union Berlin,free transfer
Central Midfield,27,2,England,Championship,Reading FC,England,Championship,Stoke City,free transfer
Goalkeeper,24,2,Germany,Bundesliga,RB Leipzig,Italy,Serie B,Genoa CFC,loan transfer
Left-Back,28,2,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Bologna FC 1909,free transfer
Centre-Back,20,2,Italy,Serie C - A,Juventus Next Gen,Italy,Serie A,FC Empoli,loan transfer
Left Winger,21,2,Spain,LaLiga2,Deportivo Alavés,Turkey,Süper Lig,Giresunspor,?
Left-Back,21,2,Brazil,Série A,Sport Club Internacional,Brazil,Série B,Club de Regatas Vasco da Gama,loan transfer
Goalkeeper,22,2,England,Premier League,Brighton & Hove Albion,Netherlands,Eredivisie,Vitesse Arnhem,loan transfer
Central Midfield,22,2,England,Championship,Watford FC,Spain,LaLiga,Elche CF,loan transfer
Defensive Midfield,27,2,Italy,Serie A,FC Empoli,Italy,Serie B,Palermo FC,loan transfer
Centre-Forward,30,2,Germany,Bundesliga,Hertha BSC,Qatar,Stars League,Al-Gharafa SC,free transfer
Left-Back,21,2,England,Premier League,Everton FC,Wales,Championship,Cardiff City,loan transfer
Centre-Forward,24,2,Spain,LaLiga,RCD Espanyol Barcelona,Netherlands,Eredivisie,NEC Nijmegen,loan transfer
Left-Back,28,2,England,Premier League,Chelsea FC,England,Championship,Reading FC,loan transfer
Left-Back,23,2,Italy,Serie C - A,Juventus Next Gen,Italy,Serie B,Pisa Sporting Club,2
Central Midfield,24,2,Argentina,Liga Profesional,CA Newell's Old Boys,Poland,Ekstraklasa,Miedz Legnica,loan transfer
Central Midfield,24,2,Italy,Serie A,SS Lazio,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,?
Centre-Forward,24,2,Bulgaria,efbet Liga,CSKA-Sofia,Mexico,Liga MX Apertura,Tigres UANL,2
Attacking Midfield,23,2,Argentina,Liga Profesional,AA Argentinos Juniors,Russia,Premier Liga,FK Orenburg,2
Centre-Back,19,2,France,Ligue 2,Paris FC,France,Ligue 1,Angers SCO,2
Attacking Midfield,18,1,Turkey,Süper Lig,Kayserispor,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,2
Left Winger,23,2,Netherlands,Keuken Kampioen Divisie,Heracles Almelo,Germany,Bundesliga,1.FSV Mainz 05,2
Left Winger,20,1,Italy,Serie A,AS Roma,Italy,Serie A,US Sassuolo,2
Centre-Forward,21,2,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,Hertha BSC,2
Goalkeeper,22,2,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,OGC Nice,2
Left-Back,20,0.45,Portugal,Without League,SC Braga B,Italy,Serie A,Udinese Calcio,2
Centre-Back,21,0.8,Bulgaria,efbet Liga,CSKA-Sofia,Italy,Serie A,AC Monza,2
Left Midfield,25,1,Uruguay,Primera División,Club Plaza Colonia,Mexico,Liga MX Apertura,Atlético de San Luis,2
Central Midfield,18,0.35,Denmark,Superligaen,FC Midtjylland,Germany,Bundesliga,Borussia Mönchengladbach,2
Right Winger,22,2,Netherlands,Eredivisie,AZ Alkmaar,France,Ligue 1,FC Toulouse,2
Goalkeeper,22,1,Croatia,SuperSport HNL,HNK Gorica,Greece,Super League 1,PAOK Thessaloniki,2
Centre-Back,24,1,Netherlands,Eredivisie,RKC Waalwijk,Turkey,Süper Lig,Istanbul Basaksehir FK,2
Right Winger,24,1,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Fenerbahce SK,2
Centre-Back,22,0.8,Portugal,Liga Portugal,GD Chaves,France,Ligue 1,LOSC Lille,2
Attacking Midfield,25,2,Belgium,Jupiler Pro League,RSC Anderlecht,Netherlands,Eredivisie,Twente Enschede FC,2
Central Midfield,24,0.85,Netherlands,Keuken Kampioen Divisie,Heracles Almelo,Spain,LaLiga,Celta de Vigo,2
Centre-Forward,27,1,Italy,Serie C - A,Juventus Next Gen,Italy,Serie B,Palermo FC,2
Centre-Back,21,0.525,Turkey,Süper Lig,Istanbulspor,Turkey,Süper Lig,Besiktas JK,2
Centre-Back,18,0.1,Switzerland,Super League,Servette FC,France,N 3 - Corse-Méditer.,Olympique de Marseille B,2
Centre-Forward,28,1,Norway,Eliteserien,Viking Stavanger,Sweden,Allsvenskan,Hammarby IF,2
Left-Back,22,0.8,Netherlands,Keuken Kampioen Divisie,Heracles Almelo,Italy,Serie A,US Cremonese,2
Left-Back,20,1,Israel,Ligat ha'Al,Hapoel Tel Aviv,Greece,Super League 1,Olympiacos Piraeus,2
Defensive Midfield,18,2,Czech Republic,Fortuna Liga,SK Slavia Prague,Italy,Serie A,US Lecce,2
Centre-Forward,21,0.7,Norway,Eliteserien,FK Bodø/Glimt,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,2
Right Winger,21,0.3,Israel,Liga Leumit,Maccabi Petah Tikva,Italy,Serie A,US Lecce,2
Right Winger,26,1,Hungary,NB I.,Ferencvárosi TC,Ukraine,Premier Liga,Shakhtar Donetsk,2
Centre-Forward,18,0.5,Italy,Serie C - A,LR Vicenza,Italy,Primavera 1,Juventus Primavera,2
Centre-Back,27,1,Portugal,Liga Portugal,Portimonense SC,Russia,Premier Liga,CSKA Moscow,2
Right Winger,23,2,Uruguay,Primera División,Club Nacional,Spain,LaLiga,Cádiz CF,1
Centre-Forward,25,2,Scotland,Premiership,Rangers FC,Switzerland,Super League,BSC Young Boys,1
Defensive Midfield,25,2,United States,MLS,Los Angeles Galaxy,France,Ligue 1,AJ Auxerre,1
Centre-Forward,21,2,Germany,Bundesliga,Hertha BSC,Germany,2. Bundesliga,SpVgg Greuther Fürth,1
Centre-Forward,18,2,Sweden,Allsvenskan,IFK Göteborg,Germany,2. Bundesliga,SV Darmstadt 98,1
Right Winger,27,2,Germany,2. Bundesliga,Fortuna Düsseldorf,Greece,Super League 1,PAOK Thessaloniki,1
Right-Back,23,2,Denmark,Superligaen,Bröndby IF,France,Ligue 1,ESTAC Troyes,1
Defensive Midfield,27,2,France,Ligue 2,Paris FC,Cyprus,Protathlima Cyta,Pafos FC,1
Centre-Forward,28,2,Serbia,Super liga Srbije,Red Star Belgrade,Denmark,Superligaen,Bröndby IF,1
Centre-Back,23,2,Austria,Bundesliga,LASK,Germany,2. Bundesliga,Arminia Bielefeld,1
Defensive Midfield,22,2,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Trabzonspor,1
Central Midfield,22,2,Poland,Ekstraklasa,Górnik Zabrze,Italy,Serie B,Benevento Calcio,1
Centre-Back,26,2,Serbia,Super liga Srbije,Red Star Belgrade,Spain,LaLiga,UD Almería,1
Right-Back,24,2,England,Championship,Huddersfield Town,Greece,Super League 1,Olympiacos Piraeus,1
Central Midfield,25,2,Germany,Bundesliga,Hertha BSC,United States,Without League,St. Louis CITY SC,1
Left Winger,26,2,Italy,Serie A,US Lecce,Italy,Serie B,Palermo FC,1
Centre-Forward,28,2,Serbia,Super liga Srbije,Red Star Belgrade,Saudi Arabia,Professional League,Al-Fayha FC,1
Attacking Midfield,25,2,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Hungary,NB I.,Ferencvárosi TC,1
Left-Back,23,2,Portugal,Liga Portugal,Boavista FC,Ukraine,Premier Liga,SK Dnipro-1,1
Centre-Forward,27,2,United States,MLS,Philadelphia Union,United States,MLS,FC Cincinnati,0.841
Central Midfield,19,2,Italy,Serie A,AS Roma,Italy,Serie A,US Cremonese,0.75
Right Winger,30,2,Germany,Bundesliga,VfL Wolfsburg,Switzerland,Super League,FC Lugano,0.75
Defensive Midfield,25,2,Turkey,Süper Lig,Giresunspor,Serbia,Super liga Srbije,FK Partizan Belgrade,0.7
Right-Back,18,2,France,Ligue 2,FC Metz,Germany,2. Bundesliga,Hamburger SV,0.7
Central Midfield,22,2,Germany,2. Bundesliga,1.FC Nuremberg,Greece,Super League 1,Panathinaikos Athens,0.65
Attacking Midfield,23,2,Japan,J2 League,Tokyo Verdy,Portugal,Liga Portugal,Gil Vicente FC,0.6
Left Winger,28,2,Italy,Serie B,SPAL,Italy,Serie A,US Lecce,0.5
Goalkeeper,24,2,Turkey,1.Lig,Göztepe,Turkey,Süper Lig,Fenerbahce SK,0.5
Centre-Back,21,2,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Valencia CF,0.5
Centre-Forward,23,2,Denmark,Superligaen,FC Midtjylland,Brazil,Série A,Fluminense Football Club,0.4
Centre-Forward,32,2,Greece,Super League 1,Panathinaikos Athens,Poland,Ekstraklasa,Legia Warszawa,0.4
Left Winger,22,2,Canada,MLS,Toronto FC,United States,MLS,Nashville SC,0.205
Central Midfield,26,2,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Al-Taawoun FC,0.196
Goalkeeper,28,2,France,Ligue 1,FC Lorient,Belgium,Jupiler Pro League,KAA Gent,0.15
Goalkeeper,23,2,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,CS Marítimo,0.05
Goalkeeper,21,2,France,Ligue 2,AC Le Havre,France,Ligue 1,Angers SCO,free transfer
Right-Back,31,2,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Trabzonspor,free transfer
Centre-Forward,29,2,Germany,2. Bundesliga,Karlsruher SC,Germany,Bundesliga,VfL Bochum,free transfer
Left Winger,29,2,England,Championship,Birmingham City,France,Ligue 1,Clermont Foot 63,free transfer
Centre-Back,29,2,Hungary,NB I.,Ferencvárosi TC,France,Ligue 1,Angers SCO,free transfer
Left-Back,30,2,France,Ligue 2,FC Metz,France,Ligue 1,RC Strasbourg Alsace,free transfer
Centre-Back,22,2,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,?
Defensive Midfield,28,2,Mexico,Liga MX Apertura,Club Necaxa,Mexico,Liga MX Apertura,Deportivo Guadalajara,?
Central Midfield,28,2,Croatia,SuperSport HNL,HNK Rijeka,Turkey,Süper Lig,Konyaspor,free transfer
Attacking Midfield,29,2,Argentina,Liga Profesional,Club Atlético Independiente,Argentina,Liga Profesional,AA Argentinos Juniors,free transfer
Left-Back,27,2,Portugal,Liga Portugal,Vitória Guimarães SC,Greece,Super League 1,PAOK Thessaloniki,free transfer
Goalkeeper,34,2,England,Premier League,Southampton FC,England,Premier League,Tottenham Hotspur,free transfer
Left Winger,25,2,England,Premier League,Liverpool FC,Wales,Championship,Cardiff City,free transfer
Centre-Forward,31,2,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,free transfer
Right-Back,26,2,England,Championship,Millwall FC,Wales,Championship,Cardiff City,free transfer
Centre-Back,24,2,England,Premier League,Chelsea FC,England,Championship,Queens Park Rangers,free transfer
Centre-Forward,28,2,Germany,Bundesliga,VfL Bochum,Iran,Persian Gulf Pro League,Persepolis FC,free transfer
Centre-Back,29,2,,Without League,Without Club,Brazil,Série A,Clube Atlético Mineiro,free transfer
Centre-Forward,27,2,England,League One,Barnsley FC,England,Championship,Luton Town,?
Defensive Midfield,28,2,Wales,Championship,Cardiff City,England,League One,Sheffield Wednesday,free transfer
Attacking Midfield,28,2,Luxembourg,BGL Ligue,FC Progrès Niederkorn,Germany,2. Bundesliga,FC Hansa Rostock,?
Defensive Midfield,27,2,China,Super League,Shenzhen FC,Switzerland,Super League,FC Zürich,free transfer
Attacking Midfield,25,2,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Mexico,Liga MX Apertura,Santos Laguna,loan transfer
Centre-Forward,21,2,Switzerland,Challenge League,FC Lausanne-Sport,Switzerland,Super League,FC Basel 1893,loan transfer
Left-Back,23,2,Italy,Serie A,Juventus FC,Italy,Serie A,US Lecce,loan transfer
Attacking Midfield,29,2,Portugal,Liga Portugal,FC Famalicão,Qatar,Stars League,Umm Salal SC,free transfer
Attacking Midfield,22,2,Spain,LaLiga,Real Sociedad,Spain,LaLiga2,CD Mirandés,loan transfer
Centre-Forward,29,2,England,Championship,Stoke City,England,Championship,Millwall FC,?
Central Midfield,28,2,Italy,Serie B,SPAL,Italy,Serie A,AC Monza,?
Centre-Forward,32,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Fortaleza Esporte Clube,loan transfer
Right Winger,31,2,Spain,LaLiga,Cádiz CF,Spain,LaLiga,Rayo Vallecano,free transfer
